stim_time_s,yaw_peak_s,yaw_err_s,pitch_peak_s,pitch_err_s
2.0,1.6077543424317615,-0.3922456575682385,2.393767576509512,0.3937675765095121
4.0,3.501331679073614,-0.4986683209263858,4.072977667493796,0.07297766749379608
6.0,6.3595616211745245,0.3595616211745245,,
8.0,7.752948717948718,-0.2470512820512818,7.788676592224979,-0.211323407775021
10.0,10.003804797353183,0.003804797353183176,10.39681141439206,0.3968114143920598
12.0,11.96883788254756,-0.031162117452440796,11.68301488833747,-0.3169851116625306
14.0,13.862415219189412,-0.13758478081058811,13.862415219189412,-0.13758478081058811
16.0,15.61308105872622,-0.38691894127378035,16.14899917287014,0.1489991728701412
18.0,18.114032258064515,0.11403225806451545,18.00684863523573,0.006848635235730427
20.0,,,,
22.0,21.686819685690654,-0.3131803143093457,21.543908188585608,-0.45609181141439237
24.0,24.43786600496278,0.4378660049627783,24.223498759305212,0.2234987593052118
26.0,25.902708850289496,-0.09729114971050379,26.00989247311828,0.009892473118281231
28.0,27.724830438378824,-0.27516956162117623,28.33220430107527,0.33220430107526866
30.0,30.19005376344086,0.19005376344086145,29.725591397849463,-0.27440860215053675
32.0,32.333726220016544,0.33372622001654406,32.1908147229115,0.19081472291149737
34.0,,,34.2273035566584,0.22730355665839852
36.0,35.62069065343259,-0.37930934656741044,36.085153019023984,0.0851530190239842
38.0,38.121641852770885,0.12164185277088535,38.085913978494624,0.08591397849462368
40.0,40.479681555004134,0.47968155500413445,39.80085194375517,-0.19914805624483023
42.0,,,41.65870140612076,-0.34129859387923744
